name,type,latitude,longitude
Taylor Elementary,public_school,42.277860746688035,-71.07743056565947
Boston International HS,public_school,42.28141865783002,-71.0809105936998
Newcomers Academy,public_school,42.28141865783002,-71.0809105936998
Mildred Avenue K-8,public_school,42.27676065686679,-71.09042959653883
TechBoston Academy,public_school,42.28779215410131,-71.07679145463584
Lee Elementary,public_school,42.29243810495751,-71.08037541961784
Lee Academy,public_school,42.28660892668268,-71.0730086271986
Holmes Elementary,public_school,42.29678849837348,-71.0756002591556
Young Achievers K-8,public_school,42.282314660302234,-71.09500233394891
Mattahunt Elementary,public_school,42.27581530957715,-71.10408944277009
Chittick Elementary,public_school,42.26725865453183,-71.1047806003227
Comm Acad Sci Health,public_school,42.3011287906276,-71.06172942103164
Philbrick Elementary,public_school,42.285408657026494,-71.1177406058554
Haley Elementary,public_school,42.286758657742126,-71.10772060214966
BTU K-8 Pilot,public_school,42.294638658909754,-71.1159406055389
Roosevelt Upper (2-7),public_school,42.24295075932906,-71.12345116642209
Channing Elementary,public_school,42.25162865054719,-71.13332060866863
Grew Elementary,public_school,42.256768651198236,-71.12732060741166
Conley Elementary,public_school,42.27479865484343,-71.12705060845161
Irving Middle,public_school,42.28363865668828,-71.12493060765705
Sumner Elementary,public_school,42.286458657653505,-71.12684060843038
Community Academy,public_school,42.308928662468276,-71.10349060219235
Hernandez K-8,public_school,42.313937883725444,-71.09812020670003
English High,public_school,42.306008661039975,-71.10960060422627
Mendell Elementary,public_school,42.31655866403211,-71.10161060258602
Kennedy John F Elemen,public_school,42.32178532697697,-71.10583938261135
West Zone ELC,public_school,42.32629275716958,-71.10693577133998
Tobin K-8,public_school,42.33301866695776,-71.09829060230336
Boston Latin School,public_school,42.337898667927874,-71.1016906039024
Kennedy Health Careers Academy,public_school,42.341458668465044,-71.09153060016702
Fenway High,public_school,42.33058827746703,-71.09917802070898
Boston Arts Academy,public_school,42.34677261359531,-71.09432127991825
McKinley Prep High Sch,public_school,42.34343866904441,-71.09926060292185
McKinley Middle,public_school,42.347948669769636,-71.1067606061076
Curley Lower (K1-5),public_school,42.31868547674177,-71.11421891268786
